keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
manteiga de amendoim,pt,auchan,pt.auchan.3503408,3503408,manteiga amendoim auchan 100% & cremosa 500g,"2,89 €",,5.78 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/mercearia/cremes-compotas-e-mel/cremes-de-barrar/manteiga-amendoim-auchan-100-e-cremosa-500g/3503408.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dwe6f9bb0c/images/hi-res/003503408.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.2485760,2485760,manteiga prozis amendoim crocante 1kg,"5,99 €",,5.99 €/Kg,,,,https://www.auchan.pt/pt/biologicos-e-escolhas-alimentares/nutricao-desportiva/preparacao-de-refeicoes/manteiga-amendoim-e-especialidades/manteiga-prozis-amendoim-crocante-1kg/2485760.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw33d24a58/images/hi-res/002485760.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.3209072,3209072,iogurte yopro manteiga amendoim e banana 160g," 1,64 € ","1,22 €",7.63 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/proteina/iogurtes-proteicos/iogurte-yopro-manteiga-amendoim-e-banana-160g/3209072.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw0aa52eec/images/hi-res/003209072.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.2230122,2230122,manteiga prozis amendoim cremosa e 100% natural 1kg,"5,99 €",,5.99 €/Kg,,,,https://www.auchan.pt/pt/biologicos-e-escolhas-alimentares/nutricao-desportiva/preparacao-de-refeicoes/manteiga-amendoim-e-especialidades/manteiga-prozis-amendoim-cremosa-e-100-natural-1kg/2230122.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw6da46c4e/images/hi-res/002230122.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.3289928,3289928,manteiga prozis amendoim cremosa 250g,"2,19 €",,8.76 €/Kg,,,,https://www.auchan.pt/pt/biologicos-e-escolhas-alimentares/nutricao-desportiva/preparacao-de-refeicoes/manteiga-amendoim-e-especialidades/manteiga-prozis-amendoim-cremosa-250g/3289928.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dwc3fa0b50/images/hi-res/003289928.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.3335516,3335516,manteiga calvé amendoim 350g,"3,34 €",,9.54 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/mercearia/cremes-compotas-e-mel/cremes-de-barrar/manteiga-calve-amendoim-350g/3335516.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dwb2a3224b/images/hi-res/003335516.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.3335521,3335521,manteiga calvé amendoim 1kg,"8,49 €",,8.49 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/mercearia/cremes-compotas-e-mel/cremes-de-barrar/manteiga-calve-amendoim-1kg/3335521.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw95fea680/images/hi-res/003335521.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.3289926,3289926,manteiga prozis amendoim crocante 250g,"2,19 €",,8.76 €/Kg,,,,https://www.auchan.pt/pt/biologicos-e-escolhas-alimentares/nutricao-desportiva/preparacao-de-refeicoes/manteiga-amendoim-e-especialidades/manteiga-prozis-amendoim-crocante-250g/3289926.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dwa879e90b/images/hi-res/003289926.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.15990,15990,manteiga pindakas de amendoim 350g,"3,99 €",,11.4 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/manteigas-e-cremes/cremes-para-barrar/manteiga-pindakas-de-amendoim-350g/15990.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw9adad13b/images/hi-res/000015990.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
manteiga de amendoim,pt,auchan,pt.auchan.99098,99098,manteiga skippy amendoim creme 340g," 3,79 € ","2,99 €",8.79 €/Kg,,,,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/manteigas-e-cremes/cremes-para-barrar/manteiga-skippy-amendoim-creme-340g/99098.html,https://www.auchan.pt/dw/image/v2/BFRC_PRD/on/demandware.static/-/Sites-auchan-pt-master-catalog/default/dw7759f19b/images/hi-res/000099098.jpg?sw=250&sh=250&sm=fit&bgcolor=FFFFFF,,2023-05-16T09:09:06.457942230Z,
