keyword,locale,catalog,id,reference,name,regularPrice,campaignPrice,pricePerQuantity,quantity,brand,description,productUrl,imageUrl,eanUpcList,date,data
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.921589,921589,Manteiga de Amendoim Cremosa,1.79,,5.26 €/Kg,0.34 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-cremosa-pingo-doce-921589.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwef1632b6/images/medium/921589_5fd2046f468b06202d83d37a603e88b2.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.880205,880205,Manteiga de Amendoim Cremosa,4.39,,8.78 €/Kg,0.5 Kg,Prozis,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-cremosa-prozis-880205.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw8f92d1d0/images/medium/880205_30f066da82b033ab12c3188d1a4c9b83.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.880206,880206,Manteiga de Amendoim Crocante,4.39,,8.78 €/Kg,0.5 Kg,Prozis,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-crocante-prozis-880206.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw5ad49947/images/medium/880206_691ca39ea76022b011e5478204275c82.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.935304,935304,Manteiga de Amendoim Cremosa,2.99,2.79,3.72 €/Kg,0.75 Kg,Go Active,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-cremosa-go-active-935304.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw12126d28/images/medium/935304_23218881426fb7fd0fdcd2fc5fb4c461.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.976785,976785,Barra Proteica Manteiga de Amendoim,1.89,,29.08 €/Kg,0.065 Kg,Prozis,,https://www.pingodoce.pt/home/produtos/alternativas-alimentares/nutricao-desportiva/snacks-e-barras/barra-proteica-manteiga-de-amendoim-prozis-976785.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw28953150/images/medium/976785_f034efd191dfdbb7b5315dfd347d41b8.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Alternativas Alimentares', 'Nutricao Desportiva', 'Snacks e Barras']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.902732,902732,Manteiga de Amendoim com Pedaços,1.79,,5.26 €/Kg,0.34 Kg,Pingo Doce,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-com-pedacos-pingo-doce-902732.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwdefb6146/images/medium/902732_5f65833c83a1a75e233e5f32895a58a5.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.986453,986453,Manteiga de Amendoim Crunchy,2.29,,4.58 €/Kg,0.5 Kg,Go Active,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-crunchy-go-active-986453.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwf2830a00/images/medium/986453_2c66b414b1bd515c3b8351f4e3cb7d0f.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.924041,924041,Manteiga de Amendoim,2.79,,11.16 €/Kg,0.25 Kg,Prozis,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-prozis-924041.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw65f59310/images/medium/924041_1_b280fee1c2c3ff1306cf1cb933cdadb4.png?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.926605,926605,Manteiga de Amendoim,2.99,,14.95 €/Kg,0.2 Kg,Not Guilty,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-not-guilty-926605.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dwbec017c2/images/medium/926605_9f033496fc79e358651d7ce202a85da3.jpeg?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
manteiga de amendoim,pt,pingo-doce,pt.pingo-doce.926163,926163,Manteiga de Amendoim Cremosa,3.79,,10.83 €/Kg,0.35 Kg,Calvé,,https://www.pingodoce.pt/home/produtos/mercearia/compotas-mel-e-cremes-de-barrar/cremes-de-barrar/manteiga-de-amendoim-cremosa-calve-926163.html,https://www.pingodoce.pt/dw/image/v2/BLJJ_PRD/on/demandware.static/-/Sites-pingo-doce-master/default/dw63f38d23/images/medium/926163_9d7c650aaf05282a6969b8038728661b.jpg?sw=198,,2026-05-28T12:20:26.266788671Z,"{'externalCategories': ['Mercearia', 'Compotas Mel e Cremes de Barrar', 'Cremes de Barrar']}"
